[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 0 setup 2.3s (arena=False draws=75)
    [zh] fold 0 draw 125 8.2s
    [zh] fold 0 draw 126 7.0s
    [zh] fold 0 draw 127 6.9s
    [zh] fold 0 draw 128 6.9s
    [zh] fold 0 draw 129 6.9s
    [zh] fold 0 draw 130 6.9s
    [zh] fold 0 draw 131 6.9s
    [zh] fold 0 draw 132 7.0s
    [zh] fold 0 draw 133 6.8s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 0 setup 2.4s (arena=False draws=66)
    [zh] fold 0 draw 134 8.0s
    [zh] fold 0 draw 135 6.7s
    [zh] fold 0 draw 136 6.8s
    [zh] fold 0 draw 137 6.9s
    [zh] fold 0 draw 138 6.9s
    [zh] fold 0 draw 139 6.8s
    [zh] fold 0 draw 140 6.9s
    [zh] fold 0 draw 141 6.8s
    [zh] fold 0 draw 142 7.5s
    [zh] fold 0 draw 143 6.9s
    [zh] fold 0 draw 144 6.9s
    [zh] fold 0 draw 145 6.9s
    [zh] fold 0 draw 146 6.8s
    [zh] fold 0 draw 147 6.7s
    [zh] fold 0 draw 148 6.9s
    [zh] fold 0 draw 149 7.0s
    [zh] fold 0 draw 150 7.0s
    [zh] fold 0 draw 151 6.8s
    [zh] fold 0 draw 152 6.8s
    [zh] fold 0 draw 153 6.8s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 0 setup 2.3s (arena=False draws=46)
    [zh] fold 0 draw 154 7.8s
    [zh] fold 0 draw 155 6.8s
    [zh] fold 0 draw 156 6.8s
    [zh] fold 0 draw 157 6.7s
    [zh] fold 0 draw 158 6.9s
    [zh] fold 0 draw 159 6.9s
    [zh] fold 0 draw 160 6.8s
    [zh] fold 0 draw 161 6.7s
    [zh] fold 0 draw 162 6.7s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 0 setup 2.3s (arena=False draws=37)
    [zh] fold 0 draw 163 7.8s
    [zh] fold 0 draw 164 6.9s
    [zh] fold 0 draw 165 7.2s
    [zh] fold 0 draw 166 7.5s
    [zh] fold 0 draw 167 6.8s
    [zh] fold 0 draw 168 7.0s
    [zh] fold 0 draw 169 6.8s
    [zh] fold 0 draw 170 6.7s
    [zh] fold 0 draw 171 6.7s
    [zh] fold 0 draw 172 6.9s
    [zh] fold 0 draw 173 6.9s
