[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 draw 145 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 setup 2.0s (arena=False draws=54)
    [en] fold 0 draw 146 7.1s
    [en] fold 0 draw 147 6.0s
    [en] fold 0 draw 148 6.0s
    [en] fold 0 draw 149 6.0s
    [en] fold 0 draw 150 6.1s
    [en] fold 0 draw 151 6.1s
    [en] fold 0 draw 152 6.0s
    [en] fold 0 draw 153 6.1s
    [en] fold 0 draw 154 6.1s
    [en] fold 0 draw 155 6.1s
    [en] fold 0 draw 156 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 setup 1.9s (arena=False draws=43)
    [en] fold 0 draw 157 7.2s
    [en] fold 0 draw 158 6.2s
    [en] fold 0 draw 159 6.2s
    [en] fold 0 draw 160 6.2s
    [en] fold 0 draw 161 6.3s
    [en] fold 0 draw 162 6.3s
    [en] fold 0 draw 163 6.1s
    [en] fold 0 draw 164 6.0s
    [en] fold 0 draw 165 6.0s
    [en] fold 0 draw 166 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 setup 1.9s (arena=False draws=33)
    [en] fold 0 draw 167 7.2s
    [en] fold 0 draw 168 6.4s
    [en] fold 0 draw 169 6.2s
    [en] fold 0 draw 170 6.2s
    [en] fold 0 draw 171 6.2s
    [en] fold 0 draw 172 6.5s
    [en] fold 0 draw 173 6.3s
    [en] fold 0 draw 174 6.2s
    [en] fold 0 draw 175 6.0s
    [en] fold 0 draw 176 6.1s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 setup 1.9s (arena=False draws=23)
    [en] fold 0 draw 177 7.3s
    [en] fold 0 draw 178 6.3s
    [en] fold 0 draw 179 6.1s
    [en] fold 0 draw 180 6.1s
    [en] fold 0 draw 181 6.1s
    [en] fold 0 draw 182 6.1s
